shader_slot,selector,base_name,render_bucket,slot,uv,hidden,artist_name,semantic_portrait_id,portrait_status,activity,channels,formula_ids,formula_expressions,notes,transport_profile_id
albedo_alpha.sps > DiffuseSampler,albedo_alpha.sps,albedo_alpha,1,DiffuseSampler,0,False,Базовый цвет,SEM_0F518D6924EB2033,resolved,active,"{""A"": ""Opacity, прямо умножается на Colour0.A и runtime globalAlpha."", ""RGB"": ""Albedo-only RGB, прямо умножается на Colour0.RGB и runtime emissiveScale.""}",F_SURFACE_ALPHA | F_ALBEDO_ALPHA,out.RGB=Diffuse.RGB×Colour0.RGB×runtime emissiveScale; out.A=Diffuse.A×Colour0.A×runtime globalAlpha | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
alpha.sps > DiffuseSampler,alpha.sps,default,1,DiffuseSampler,0,False,Базовый цвет,SEM_9B2FFD437A334725,resolved,active,"{""A"": ""Surface alpha; в CUTOUT также источник alpha-test."", ""RGB"": ""Базовый цвет поверхности. DXBC не доказывает transfer-функцию исходного DDS.""}",F_SURFACE_ALPHA,surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,DIFFUSE_RGBA_AUTO
blend_2lyr.sps > TextureSampler_layer0,blend_2lyr.sps,blend_2lyr,0,TextureSampler_layer0,0,False,Слой diffuse,SEM_C788B5497F4D43B2,resolved,active,"{""A"": ""Высота/приоритет слоя для height-aware смешивания."", ""RGB"": ""Цвет соответствующего слоя terrain.""}",F_BLEND2,"blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,MIXED_COLOR_HEIGHT_BC3
blend_2lyr.sps > BumpSampler_layer0,blend_2lyr.sps,blend_2lyr,0,BumpSampler_layer0,0,False,Слой normal,SEM_9B853EDD8972E70F,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",F_BLEND2,"blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,NORMAL_XY_AUTO
blend_2lyr.sps > TextureSampler_layer1,blend_2lyr.sps,blend_2lyr,0,TextureSampler_layer1,0,False,Слой diffuse,SEM_C788B5497F4D43B2,resolved,active,"{""A"": ""Высота/приоритет слоя для height-aware смешивания."", ""RGB"": ""Цвет соответствующего слоя terrain.""}",F_BLEND2,"blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,MIXED_COLOR_HEIGHT_BC3
blend_2lyr.sps > BumpSampler_layer1,blend_2lyr.sps,blend_2lyr,0,BumpSampler_layer1,0,False,Слой normal,SEM_9B853EDD8972E70F,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",F_BLEND2,"blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,NORMAL_XY_AUTO
blend_2lyr.sps > lookupSampler,blend_2lyr.sps,blend_2lyr,0,lookupSampler,1,False,Таблица выбора слоёв,SEM_08181324D17DA970,resolved,active,"{""BA"": ""Не используются."", ""G"": ""Формирует height-aware ширину/приоритет перехода."", ""R"": ""Базовый переход layer0↔layer1.""}",F_BLEND2,"blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,LINEAR_R_OR_RG_BC5
cable.sps > textureSamp,cable.sps,cable,1,textureSamp,,False,Текстура тени кабеля,SEM_89731F8135289D5E,resolved,active,"{""RGBA"": ""Читается в shadow-технике; видимый цвет кабеля эта карта не задаёт.""}",,,Для обычного draw видимый цвет приходит из numeric cable colours.,SKIP_ENGINE_RESOURCE
cloth_default.sps > DiffuseSampler,cloth_default.sps,cloth_default,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_normal_spec.sps > DiffuseSampler,cloth_normal_spec.sps,cloth_normal_spec,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_normal_spec.sps > BumpSampler,cloth_normal_spec.sps,cloth_normal_spec,0,BumpSampler,0,False,Карта нормалей,SEM_E81DD0EBFDA45264,resolved,active,"{""A"": ""Не читается для восстановления обычной normal."", ""B"": ""Не читается для восстановления обычной normal."", ""RG"": ""XY-нормаль в tangent space: Nxy = (2·RG−1)·max(bumpiness, 0.001).""}",generic_normal,"Nxy = (2·RG−1)·max(bumpiness, 0.001)",,NORMAL_XY_AUTO
cloth_normal_spec.sps > SpecSampler,cloth_normal_spec.sps,cloth_normal_spec,0,SpecSampler,0,False,Универсальная карта бликов,SEM_C237BFBD5C925E9E,resolved,active,"{""A"": ""Линейный falloff/exponent input."", ""B"": ""Входит в scalar intensity линейно через specMapIntMask."", ""G"": ""Квадратится и входит в scalar intensity через specMapIntMask."", ""R"": ""Квадратится и входит в scalar intensity через specMapIntMask.""}",generic_spec,"I = dot((R²,G²,B), mask)·SpecInt; P = A·SpecFalloff",,LINEAR_RGBA_BC3
cloth_normal_spec_alpha.sps > DiffuseSampler,cloth_normal_spec_alpha.sps,cloth_normal_spec,1,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_normal_spec_alpha.sps > BumpSampler,cloth_normal_spec_alpha.sps,cloth_normal_spec,1,BumpSampler,0,False,Карта нормалей,SEM_E81DD0EBFDA45264,resolved,active,"{""A"": ""Не читается для восстановления обычной normal."", ""B"": ""Не читается для восстановления обычной normal."", ""RG"": ""XY-нормаль в tangent space: Nxy = (2·RG−1)·max(bumpiness, 0.001).""}",generic_normal,"Nxy = (2·RG−1)·max(bumpiness, 0.001)",,NORMAL_XY_AUTO
cloth_normal_spec_alpha.sps > SpecSampler,cloth_normal_spec_alpha.sps,cloth_normal_spec,1,SpecSampler,0,False,Универсальная карта бликов,SEM_C237BFBD5C925E9E,resolved,active,"{""A"": ""Линейный falloff/exponent input."", ""B"": ""Входит в scalar intensity линейно через specMapIntMask."", ""G"": ""Квадратится и входит в scalar intensity через specMapIntMask."", ""R"": ""Квадратится и входит в scalar intensity через specMapIntMask.""}",generic_spec,"I = dot((R²,G²,B), mask)·SpecInt; P = A·SpecFalloff",,LINEAR_RGBA_BC3
cloth_normal_spec_cutout.sps > DiffuseSampler,cloth_normal_spec_cutout.sps,cloth_normal_spec,3,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_normal_spec_cutout.sps > BumpSampler,cloth_normal_spec_cutout.sps,cloth_normal_spec,3,BumpSampler,0,False,Карта нормалей,SEM_E81DD0EBFDA45264,resolved,active,"{""A"": ""Не читается для восстановления обычной normal."", ""B"": ""Не читается для восстановления обычной normal."", ""RG"": ""XY-нормаль в tangent space: Nxy = (2·RG−1)·max(bumpiness, 0.001).""}",generic_normal,"Nxy = (2·RG−1)·max(bumpiness, 0.001)",,NORMAL_XY_AUTO
cloth_normal_spec_cutout.sps > SpecSampler,cloth_normal_spec_cutout.sps,cloth_normal_spec,3,SpecSampler,0,False,Универсальная карта бликов,SEM_C237BFBD5C925E9E,resolved,active,"{""A"": ""Линейный falloff/exponent input."", ""B"": ""Входит в scalar intensity линейно через specMapIntMask."", ""G"": ""Квадратится и входит в scalar intensity через specMapIntMask."", ""R"": ""Квадратится и входит в scalar intensity через specMapIntMask.""}",generic_spec,"I = dot((R²,G²,B), mask)·SpecInt; P = A·SpecFalloff",,LINEAR_RGBA_BC3
cloth_normal_spec_tnt.sps > DiffuseSampler,cloth_normal_spec_tnt.sps,cloth_normal_spec_tnt,0,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_normal_spec_tnt.sps > TintPaletteSampler,cloth_normal_spec_tnt.sps,cloth_normal_spec_tnt,0,TintPaletteSampler,,False,Палитра оттенков,SEM_2D892207A85FF1DB,resolved,active,"{""A"": ""В проверенной цветовой модуляции художественная роль не установлена."", ""RGB"": ""Tint, умножаемый на diffuse RGB.""}",,,"Координата X берётся из Colour0.B, строка — из tintPaletteSelector.",PALETTE_RGBA8
cloth_normal_spec_tnt.sps > BumpSampler,cloth_normal_spec_tnt.sps,cloth_normal_spec_tnt,0,BumpSampler,0,False,Карта нормалей,SEM_E81DD0EBFDA45264,resolved,active,"{""A"": ""Не читается для восстановления обычной normal."", ""B"": ""Не читается для восстановления обычной normal."", ""RG"": ""XY-нормаль в tangent space: Nxy = (2·RG−1)·max(bumpiness, 0.001).""}",generic_normal,"Nxy = (2·RG−1)·max(bumpiness, 0.001)",,NORMAL_XY_AUTO
cloth_normal_spec_tnt.sps > SpecSampler,cloth_normal_spec_tnt.sps,cloth_normal_spec_tnt,0,SpecSampler,0,False,Универсальная карта бликов,SEM_C237BFBD5C925E9E,resolved,active,"{""A"": ""Линейный falloff/exponent input."", ""B"": ""Входит в scalar intensity линейно через specMapIntMask."", ""G"": ""Квадратится и входит в scalar intensity через specMapIntMask."", ""R"": ""Квадратится и входит в scalar intensity через specMapIntMask.""}",generic_spec,"I = dot((R²,G²,B), mask)·SpecInt; P = A·SpecFalloff",,LINEAR_RGBA_BC3
cloth_spec_alpha.sps > DiffuseSampler,cloth_spec_alpha.sps,cloth_spec_alpha,1,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
cloth_spec_cutout.sps > DiffuseSampler,cloth_spec_cutout.sps,cloth_spec_alpha,3,DiffuseSampler,0,False,Альбедо / непрозрачность,SEM_FAF749A86D36BEA9,resolved,active,"{""A"": ""Opacity/cutout source; затем умножается на общие alpha factors."", ""RGB"": ""Цвет поверхности.""}",,,,DIFFUSE_RGBA_AUTO
clouds_altitude.sps > DensitySampler,clouds_altitude.sps,clouds_altitude,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_altitude.sps > normalSampler,clouds_altitude.sps,clouds_altitude,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_altitude.sps > DetailDensitySampler,clouds_altitude.sps,clouds_altitude,0,DetailDensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_altitude.sps > DetailNormalSampler,clouds_altitude.sps,clouds_altitude,0,DetailNormalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_altitude.sps > DetailDensity2Sampler,clouds_altitude.sps,clouds_altitude,0,DetailDensity2Sampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_altitude.sps > DetailNormal2Sampler,clouds_altitude.sps,clouds_altitude,0,DetailNormal2Sampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
clouds_altitude.sps > DepthMapTexSampler,clouds_altitude.sps,clouds_altitude,0,DepthMapTexSampler,,False,Глубина сцены,SEM_0B39DAD8B4540CCE,resolved,active,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",F_CLOUD_SOFT,alpha *= saturate((sceneDepth−cloudDepth)/softRange),"Карта подаётся движком, художник её не рисует.",SKIP_ENGINE_RESOURCE
clouds_anim.sps > DensitySampler,clouds_anim.sps,clouds_anim,0,DensitySampler,0,False,Плотность облаков,SEM_DC1F84AE691EE13B,resolved,active,"{""A"": ""Не используется в исследованном cloud path."", ""B"": ""Не используется в исследованном cloud path."", ""G"": ""Плотность: базово d=1−G; animated detail использует d=1−G²."", ""R"": ""Не используется в исследованном cloud path.""}",F_CLOUD_DENSITY,base d=1−Density.G; animated detail d=1−Detail.G²,,LINEAR_RGB_BC1
clouds_anim.sps > normalSampler,clouds_anim.sps,clouds_anim,0,normalSampler,0,False,Карта нормалей облаков,SEM_5B4603C4239AB415,resolved,active,"{""A"": ""Не отдельная художественная маска; физическая упаковка normal map зависит от формата текстуры."", ""RGB"": ""Тангенсная нормаль после GTA-декодирования; X/Y задают наклон, Z восстанавливается/нормализуется.""}",,,,NORMAL_XY_AUTO
