semantic_portrait_id,transport_profile_id,activity,member_count,slot_names,channels,formulas,notes,shader_slots
SEM_03583B411F57462F,COLOR_RGB_BC1,active,16,EnvironmentSampler,"{""A"": ""Не используется проверенным путём environment-reflection."", ""RGB"": ""Цвет отражения сэмплируется по процедурному отражённому направлению.""}","R=normalize(reflect(−V,N)); uv=−0.5·(R.xz+1); EnvRGB=Environment2D(uv).RGB·reflectivePower","Попиксельной маски отражения нет: reflectivePower задаёт общую силу материала. | Diffuse.A, Spec.A и Spec.RGB напрямую не маскируют, не размывают и не тонируют эту текстуру.",glass_normal_spec_reflect.sps > EnvironmentSampler | glass_reflect.sps > EnvironmentSampler | gta_reflect_alpha.sps > EnvironmentSampler | normal_reflect.sps > EnvironmentSampler | normal_reflect_alpha.sps > EnvironmentSampler | normal_reflect_decal.sps > EnvironmentSampler | normal_reflect_screendooralpha.sps > EnvironmentSampler | normal_spec_reflect.sps > EnvironmentSampler | normal_spec_reflect_alpha.sps > EnvironmentSampler | normal_spec_reflect_decal.sps > EnvironmentSampler | reflect.sps > EnvironmentSampler | reflect_alpha.sps > EnvironmentSampler | reflect_decal.sps > EnvironmentSampler | spec_reflect.sps > EnvironmentSampler | spec_reflect_alpha.sps > EnvironmentSampler | spec_reflect_decal.sps > EnvironmentSampler
SEM_08027913C4D72BDC,NORMAL_XY_AUTO,active,1,BumpSampler,"{""A"": ""Маска blend/записи normal-only decal."", ""B"": ""Не является отдельным художественным каналом в этих branches."", ""RG"": ""Tangent-space normal XY после remap; масштабируется bumpiness.""}","Nxy = (2*Bump.RG-1) * max(bumpiness, 0.001) | normal_write_alpha=BumpSampler.A*DiffuseSampler.A*Colour0.A*globalAlpha",,decal_normal_only.sps > BumpSampler
SEM_08181324D17DA970,LINEAR_R_OR_RG_BC5,active,1,lookupSampler,"{""BA"": ""Не используются."", ""G"": ""Формирует height-aware ширину/приоритет перехода."", ""R"": ""Базовый переход layer0↔layer1.""}","blend = height-aware(Texture0.A, Texture1.A, lookup.RG)",,blend_2lyr.sps > lookupSampler
SEM_0B39DAD8B4540CCE,SKIP_ENGINE_RESOURCE,active,4,DepthMapTexSampler,"{""GBA"": ""Не являются художественными каналами материала."", ""R"": ""Экранная глубина сцены для soft-particle fade.""}",alpha *= saturate((sceneDepth−cloudDepth)/softRange),"Карта подаётся движком, художник её не рисует.",clouds_altitude.sps > DepthMapTexSampler | clouds_animsoft.sps > DepthMapTexSampler | clouds_fog.sps > DepthMapTexSampler | clouds_soft.sps > DepthMapTexSampler
SEM_0C9EA4E9D23D84A5,DIFFUSE_RGBA_AUTO,active,13,DiffuseSampler,"{""A"": ""Opacity для ALPHA или alpha-test для CUTOUT."", ""RGB"": ""Цвет поверхности; после tint/dirt/слоёв vehicle forward core использует его в квадрате.""}","C≈(Diffuse.rgb × tint × Colour0.R, после layer/dirt)^2",,vehicle_badges.sps > DiffuseSampler | vehicle_blurredrotor.sps > DiffuseSampler | vehicle_blurredrotor_emissive.sps > DiffuseSampler | vehicle_cutout.sps > DiffuseSampler | vehicle_dash_emissive.sps > DiffuseSampler | vehicle_decal.sps > DiffuseSampler | vehicle_emissive_alpha.sps > DiffuseSampler | vehicle_lights.sps > DiffuseSampler | vehicle_lightsemissive.sps > DiffuseSampler | vehicle_lightsemissive_siren.sps > DiffuseSampler | vehicle_track_siren.sps > DiffuseSampler | vehicle_vehglass.sps > DiffuseSampler | vehicle_vehglass_inner.sps > DiffuseSampler
SEM_0D3B8A9B6DAF4B80,TODO_SPECIAL_SPEC_BA,active,3,SpecSampler,"{""A"": ""Линейный falloff input: P≈510·A снаружи и P≈512·A у inner."", ""RGB"": ""Интенсивность glass-spec: dot((R²,G²,B), specMapIntMask).""}","I=dot((R²,G²,B),mask)·Colour0.R; P≈(510 или 512)·A; n=3·min(P,500)+558·max(P−500,0)",,vehicle_lights.sps > SpecSampler | vehicle_vehglass.sps > SpecSampler | vehicle_vehglass_inner.sps > SpecSampler
SEM_0F518D6924EB2033,DIFFUSE_RGBA_AUTO,active,1,DiffuseSampler,"{""A"": ""Opacity, прямо умножается на Colour0.A и runtime globalAlpha."", ""RGB"": ""Albedo-only RGB, прямо умножается на Colour0.RGB и runtime emissiveScale.""}",out.RGB=Diffuse.RGB×Colour0.RGB×runtime emissiveScale; out.A=Diffuse.A×Colour0.A×runtime globalAlpha | surface_alpha = DiffuseSampler.A × Colour0.A; затем runtime умножает globalAlpha,,albedo_alpha.sps > DiffuseSampler
SEM_1439DE4A1FD0DC0F,LINEAR_RGBA_BC3,active,2,SpecSampler,"{""A"": ""Попиксельная detail-маска одновременно для detail colour/intensity и normal."", ""B"": ""Не используется обычным decoder для weapon spec."", ""G"": ""Возводимый в квадрат вход falloff/exponent."", ""R"": ""Возводимый в квадрат вход интенсивности direct-spec.""}","I = saturate(Spec.R² · specularIntensityMult) | P = Spec.G²·specularFalloffMult; n = 3·min(P,500) + 558·max(P−500,0) | Q.rgb = Spec.R²·specular2ColorIntensity·specular2Color.rgb·NoH^(Spec.G²·specular2Factor) | gate = 1 − Dxy.x·detailSettings.X·Spec.A; Nxy += 2·Dxy·detailSettings.Y·Spec.A",,weapon_normal_spec_detail_palette.sps > SpecSampler | weapon_normal_spec_detail_tnt.sps > SpecSampler
SEM_15866391C05656BC,LINEAR_RGBA_BC3,active,1,NoiseSampler,"{""RGBA"": ""Shell breakup/depth noise; стабильное per-channel authoring правило не восстановлено.""}",,,ped_fur.sps > NoiseSampler
SEM_15F46AFD226CBB42,SKIP_INACTIVE,inactive,5,DiffuseExtraSampler,"{""A"": ""Это только объявленная зависимость icon/metadata; она отсутствует во всех активных resource tables weapon DXBC и не влияет на поверхность."", ""B"": ""Это только объявленная зависимость icon/metadata; она отсутствует во всех активных resource tables weapon DXBC и не влияет на поверхность."", ""G"": ""Это только объявленная зависимость icon/metadata; она отсутствует во всех активных resource tables weapon DXBC и не влияет на поверхность."", ""R"": ""Это только объявленная зависимость icon/metadata; она отсутствует во всех активных resource tables weapon DXBC и не влияет на поверхность.""}",,Восстановленный source называет это «фиктивным дополнительным diffuse slot для icon textures»; не создавайте его как второй UV diffuse.,weapon_normal_spec_cutout_palette.sps > DiffuseExtraSampler | weapon_normal_spec_detail_palette.sps > DiffuseExtraSampler | weapon_normal_spec_detail_tnt.sps > DiffuseExtraSampler | weapon_normal_spec_palette.sps > DiffuseExtraSampler | weapon_normal_spec_tnt.sps > DiffuseExtraSampler
